p_ar,budget,size,n_params,steps,ar_steps,bd_steps,learning_rate,val_nelbo,val_masked_ce_t0.5,clean_tokens,realized_flops,effective_compute_parameters,duration_seconds,result_path
0.2,1000000000000000.0,0.4M,393360,3636,727,2909,0.003,1.6157150149345398,1.5972549140453338,119144448,999823339683840,699307.5467546755,101.30148328561336,results_p_ar/runs/p_ar_0.2/1e15/0.4M/lr_3.0e-03/result.json
0.2,1000000000000000.0,0.8M,781920,1979,396,1583,0.001,1.6329443037509919,1.617299920320511,64847872,999732503642112,1284715.1248105103,89.7458230862394,results_p_ar/runs/p_ar_0.2/1e15/0.8M/lr_1.0e-03/result.json
0.2,1000000000000000.0,1.6M,1591680,1096,219,877,0.003,1.677586853504181,1.662740170955658,35913728,999300242866176,2318751.7664233577,62.687311499379575,results_p_ar/runs/p_ar_0.2/1e15/1.6M/lr_3.0e-03/result.json
0.3,10000000000000.0,0.002M,2232,1769,531,1238,0.027,2.5211777448654176,2.5279921650886537,57966592,9998385020928,14373.775014132278,16.75042110402137,results_p_ar/runs/p_ar_0.3/1e13/0.002M/lr_2.7e-02/result.json
0.3,10000000000000.0,0.005M,4308,1136,341,795,0.081,2.3095977902412415,2.310071647167206,37224448,9995412307968,22376.450704225354,11.881088058464229,results_p_ar/runs/p_ar_0.3/1e13/0.005M/lr_8.1e-02/result.json
0.3,10000000000000.0,0.01M,11152,539,162,377,0.027,2.236981415748596,2.242070233821869,17661952,9979123728384,47083.903525046386,6.880626419559121,results_p_ar/runs/p_ar_0.3/1e13/0.01M/lr_2.7e-02/result.json
0.3,10000000000000.0,0.02M,22488,336,101,235,0.027,2.310251009464264,2.314333665370941,11010048,9977443909632,75517.71428571429,4.401088203303516,results_p_ar/runs/p_ar_0.3/1e13/0.02M/lr_2.7e-02/result.json
0.3,10000000000000.0,0.04M,39968,232,70,162,0.009,2.3653619647026063,2.367349934577942,7602176,9949962829824,109069.24137931035,3.730291172862053,results_p_ar/runs/p_ar_0.3/1e13/0.04M/lr_9.0e-03/result.json
0.3,30000000000000.0,0.01M,11152,1619,486,1133,0.027,2.1259254813194275,2.1292561173439024,53051392,29984292864000,47099.4441012971,16.1317666945979,results_p_ar/runs/p_ar_0.3/3e13/0.01M/lr_2.7e-02/result.json
0.3,30000000000000.0,0.02M,22488,1009,303,706,0.027,2.075578045845032,2.07590913772583,33062912,29969787912192,75537.27651139742,10.948267349041998,results_p_ar/runs/p_ar_0.3/3e13/0.02M/lr_2.7e-02/result.json
